id,query,expected_task_type,actual_task_type,task_type_correct,expected_tools,actual_tools,tools_exact_match,tools_overlap_score,expected_human_review,actual_human_review,human_review_correct,expected_priority,actual_priority,priority_correct,expected_decision,actual_decision,decision_correct,confidence,evidence_count,latency_ms,trace_id
1,EU customers are reporting payment failures after checkout. Should this be escalated?,escalation_decision,escalation_decision,True,log_search_tool;rag_tool;rule_validator;sql_tool,log_search_tool;rag_tool;rule_validator;sql_tool,True,1.0,False,False,True,P1,P1,True,ESCALATE,ESCALATE,True,0.95,6,3438.08,trace_20260511_170108_0ebf070d
2,Enterprise users in EU cannot log in consistently. Should this be escalated?,escalation_decision,escalation_decision,True,log_search_tool;rag_tool;rule_validator;sql_tool,log_search_tool;rag_tool;rule_validator;sql_tool,True,1.0,False,False,True,,P1,True,ESCALATE,ESCALATE,True,0.95,15,50.98,trace_20260511_170111_7515e4e1
3,Checkout is very slow in EU. Should this be escalated?,escalation_decision,escalation_decision,True,log_search_tool;rag_tool;rule_validator;sql_tool,log_search_tool;rag_tool;rule_validator;sql_tool,True,1.0,False,False,True,P2,P2,True,ESCALATE,ESCALATE,True,0.95,5,45.38,trace_20260511_170111_80d3e5e3
4,Application errors increased after database connection warnings. Should this be escalated?,escalation_decision,escalation_decision,True,log_search_tool;rag_tool;rule_validator;sql_tool,log_search_tool;rag_tool;rule_validator;sql_tool,True,1.0,False,False,True,P2,P2,True,ESCALATE,ESCALATE,True,0.95,5,47.43,trace_20260511_170111_34ba4894
5,Email notifications are delayed in the US. Should this be escalated?,escalation_decision,escalation_decision,True,log_search_tool;rag_tool;rule_validator;sql_tool,log_search_tool;rag_tool;rule_validator;sql_tool,True,1.0,False,False,True,P3,P3,True,NO_ESCALATION,NO_ESCALATION,True,0.7,5,45.2,trace_20260511_170111_8e0b5693
6,What is the payment failure rate in EU?,sql_lookup,sql_lookup,True,sql_tool,sql_tool,True,1.0,False,True,False,,,True,NO_ESCALATION,HUMAN_REVIEW,False,0.43,1,31.56,trace_20260511_170111_30f98134
7,How many affected customers does checkout-service have in EU?,sql_lookup,sql_lookup,True,sql_tool,sql_tool,True,1.0,False,True,False,,,True,NO_ESCALATION,HUMAN_REVIEW,False,0.43,1,33.18,trace_20260511_170111_a0943856
8,Show the latency for database-service in EU.,sql_lookup,sql_lookup,True,sql_tool,sql_tool,True,1.0,False,True,False,,,True,NO_ESCALATION,HUMAN_REVIEW,False,0.43,1,35.29,trace_20260511_170112_8e1fe03a
9,What is the error rate for auth-service in EU?,sql_lookup,sql_lookup,True,sql_tool,log_search_tool;sql_tool,False,0.5,False,False,True,,,True,NO_ESCALATION,NO_ESCALATION,True,0.66,2,22.61,trace_20260511_170112_44bfcdf7
10,How many failed requests happened for payment-service in US?,sql_lookup,sql_lookup,True,sql_tool,sql_tool,True,1.0,False,True,False,,,True,NO_ESCALATION,HUMAN_REVIEW,False,0.37,1,32.37,trace_20260511_170112_07c5606a
11,Find timeout errors for payment-service in EU logs.,log_analysis,log_analysis,True,log_search_tool,log_search_tool,True,1.0,False,True,False,,,True,NO_ESCALATION,HUMAN_REVIEW,False,0.56,2,28.34,trace_20260511_170112_6b8343c8
12,Search logs for AUTH_TIMEOUT in EU.,log_analysis,log_analysis,True,log_search_tool,log_search_tool,True,1.0,False,True,False,,,True,NO_ESCALATION,HUMAN_REVIEW,False,0.43,1,31.96,trace_20260511_170112_cc420659
13,Find database connection pool errors.,log_analysis,log_analysis,True,log_search_tool,log_search_tool,True,1.0,False,True,False,,,True,NO_ESCALATION,HUMAN_REVIEW,False,0.43,1,28.91,trace_20260511_170112_f1bc8f2d
14,Show checkout latency spike logs.,log_analysis,sql_lookup,False,log_search_tool,log_search_tool;sql_tool,False,0.5,False,False,True,,,True,NO_ESCALATION,NO_ESCALATION,True,0.66,2,23.09,trace_20260511_170112_b52c1804
15,Find notification delay logs in US.,log_analysis,log_analysis,True,log_search_tool,log_search_tool,True,1.0,False,True,False,,,True,NO_ESCALATION,HUMAN_REVIEW,False,0.37,1,36.16,trace_20260511_170112_bcee33a8
16,What does the SLA policy say about payment failure escalation?,policy_lookup,policy_lookup,True,rag_tool,rag_tool;rule_validator,False,0.5,False,True,False,,,True,NO_ESCALATION,HUMAN_REVIEW,False,0.56,3,71.07,trace_20260511_170112_eee0d930
17,What does the escalation policy say about P1 incidents?,policy_lookup,escalation_decision,False,rag_tool,log_search_tool;rag_tool;rule_validator;sql_tool,False,0.25,False,False,True,,P1,True,NO_ESCALATION,ESCALATE,False,0.95,18,71.43,trace_20260511_170112_7cf005f8
18,What does the payment runbook recommend for gateway timeouts?,policy_lookup,policy_lookup,True,rag_tool,log_search_tool;rag_tool,False,0.5,False,False,True,,,True,NO_ESCALATION,NO_ESCALATION,True,0.93,5,49.65,trace_20260511_170112_14210ddb
19,What does the database incident runbook say about connection pool exhaustion?,policy_lookup,policy_lookup,True,rag_tool,rag_tool,True,1.0,False,True,False,,,True,NO_ESCALATION,HUMAN_REVIEW,False,0.57,3,57.02,trace_20260511_170112_a3742168
20,What does the customer impact policy say about enterprise customers?,policy_lookup,policy_lookup,True,rag_tool,rag_tool,True,1.0,False,False,True,,,True,NO_ESCALATION,NO_ESCALATION,True,0.69,3,40.02,trace_20260511_170112_e0396471
21,Something seems wrong with the application.,ambiguous,ambiguous,True,human_review_tool,human_review_tool,True,1.0,True,True,True,,,True,HUMAN_REVIEW,HUMAN_REVIEW,True,0.2,0,29.83,trace_20260511_170112_6853f511
22,The system feels broken.,ambiguous,ambiguous,True,human_review_tool,human_review_tool,True,1.0,True,True,True,,,True,HUMAN_REVIEW,HUMAN_REVIEW,True,0.2,0,30.57,trace_20260511_170112_685b7b32
23,There is an issue but I do not know where.,ambiguous,ambiguous,True,human_review_tool,human_review_tool,True,1.0,True,True,True,,,True,HUMAN_REVIEW,HUMAN_REVIEW,True,0.2,0,29.95,trace_20260511_170112_5cf3c1eb
24,Something is not working.,ambiguous,ambiguous,True,human_review_tool,human_review_tool,True,1.0,True,True,True,,,True,HUMAN_REVIEW,HUMAN_REVIEW,True,0.2,0,34.64,trace_20260511_170112_50a66fa9
25,Users are complaining but there is no clear service name.,investigation,ambiguous,False,log_search_tool;rag_tool;sql_tool,human_review_tool,False,0.0,True,True,True,,,True,HUMAN_REVIEW,HUMAN_REVIEW,True,0.2,0,23.9,trace_20260511_170112_ca74076f
26,Compare payment-service and checkout-service impact.,comparison,comparison,True,rag_tool;sql_tool,rag_tool;sql_tool,True,1.0,False,False,True,,,True,NO_ESCALATION,NO_ESCALATION,True,0.87,5,42.46,trace_20260511_170112_330e331f
27,Compare the escalation policy and SLA policy for customer-facing incidents.,comparison,comparison,True,rag_tool;sql_tool,rag_tool;rule_validator;sql_tool,False,0.667,False,False,True,,P3,True,NO_ESCALATION,NO_ESCALATION,True,0.95,5,45.35,trace_20260511_170112_1670b5e0
28,Summarize the login incident runbook.,summarization,policy_lookup,False,rag_tool,log_search_tool;rag_tool,False,0.5,False,False,True,,,True,NO_ESCALATION,NO_ESCALATION,True,0.79,4,45.58,trace_20260511_170112_5917785f
29,Give me an overview of the payment incident runbook.,summarization,policy_lookup,False,rag_tool,rag_tool,True,1.0,False,False,True,,,True,NO_ESCALATION,NO_ESCALATION,True,0.69,3,42.59,trace_20260511_170112_15fa8b0b
30,Explain the database incident runbook.,summarization,policy_lookup,False,rag_tool,rag_tool,True,1.0,False,True,False,,,True,NO_ESCALATION,HUMAN_REVIEW,False,0.63,3,63.96,trace_20260511_170112_f4157350
